dataset_id,tier,scale,algorithm,track,status,n_runs,build_time_s,qps,lat_p50_ms,lat_p95_ms,lat_p99_ms,rss_mb,index_bytes,bytes_per_insert,recall_at_k,recall_at_k_id_overlap,recall_at_k_tie_aware,update_latency_ms,energy_proxy,error_bits_min_hamming,error_bits_prefix_gap,hamming_audit_gap,online_accuracy,online_f1,adaptation_lag_steps
openml:adult,edge,1M,hnswlib-l2-bits,ann,ok,1,2.8739070892333984,57437.77811062373,0.013113021850585938,0.015020370483398438,0.025987625122070312,387.9375,1600000.0,32.0,0.9921875,0.0,0.9921875,,,0.017578125,,0.07692307692307693,,,
openml:adult,edge,1M,nmslib-hnsw-l2-bits,ann,ok,1,11.455528020858765,20469.38050937929,0.03790855407714844,0.051975250244140625,0.05698204040527344,393.34765625,1600000.0,32.0,0.9921875,0.0,0.9921875,,,0.017578125,,0.07692307692307693,,,
openml:adult,edge,1M,reference-exact-hamming,ann,ok,1,0.0,206.68261700779422,4.873037338256836,4.975080490112305,5.028963088989258,387.9375,1600000.0,32.0,1.0,1.0,1.0,,,0.0,,0.0,,,
openml:adult,server,100M,faiss-binary-flat,ann,ok,1,0.0007021427154541016,15.14934053554339,61.97404861450195,105.96799850463867,117.97690391540527,1680.94921875,12800000.0,32.0,1.0,0.0046875,1.0,,,0.0,,0.0,,,
openml:adult,server,100M,hnswlib-l2-bits,ann,ok,1,23.025986909866333,75791.75718218395,0.010967254638671875,0.014066696166992188,0.01621246337890625,1680.94921875,12800000.0,32.0,0.984375,0.0,0.984375,,,0.01953125,,0.0,,,
openml:adult,server,100M,nmslib-hnsw-l2-bits,ann,ok,1,83.88818788528442,27501.28465807223,0.030994415283203125,0.03695487976074219,0.041961669921875,1762.609375,12800000.0,32.0,0.9765625,0.0,0.9765625,,,0.024739583333333332,,0.0,,,
openml:adult,server,100M,reference-exact-hamming,ann,ok,1,0.0,22.151172926689096,38.50698471069336,102.70881652832031,112.93506622314453,1680.94921875,12800000.0,32.0,1.0,1.0,1.0,,,0.0,,0.0,,,
openml:adult,server,10M,faiss-binary-flat,ann,ok,1,0.0004260540008544922,22.527462581180124,41.97812080383301,62.79706954956055,73.25506210327148,867.78515625,6400000.0,32.0,1.0,0.0,1.0,,,0.0,,0.0,,,
openml:adult,server,10M,hnswlib-l2-bits,ann,ok,1,12.445797204971313,54929.879728865584,0.015020370483398438,0.01621246337890625,0.019073486328125,867.78515625,6400000.0,32.0,0.9921875,0.0,0.9921875,,,0.03515625,,0.0,,,
openml:adult,server,10M,nmslib-hnsw-l2-bits,ann,ok,1,42.237666845321655,22480.8547291285,0.03886222839355469,0.0400543212890625,0.04315376281738281,948.5703125,6400000.0,32.0,0.515625,0.0,0.515625,,,101.51171875,,78.76923076923077,,,
openml:adult,server,10M,reference-exact-hamming,ann,ok,1,0.0,49.52234151438652,19.270896911621094,22.304058074951172,22.346019744873047,867.78515625,6400000.0,32.0,1.0,1.0,1.0,,,0.0,,0.0,,,
openml:adult,server,1M,faiss-binary-flat,ann,ok,1,9.894371032714844e-05,55.89277957651091,19.5770263671875,35.98594665527344,42.97780990600586,325.57421875,1600000.0,32.0,1.0,0.00546875,1.0,,,0.0,,0.0,,,
openml:adult,server,1M,hnswlib-l2-bits,ann,ok,1,3.422708034515381,75783.73321099623,0.011920928955078125,0.014066696166992188,0.015020370483398438,325.57421875,1600000.0,32.0,0.9921875,0.0,0.9921875,,,0.017578125,,0.07692307692307693,,,
openml:adult,server,1M,nmslib-hnsw-l2-bits,ann,ok,1,12.574729919433594,9177.084455460354,0.09417533874511719,0.10395050048828125,0.11014938354492188,367.94140625,1600000.0,32.0,0.578125,0.0,0.578125,,,118.501953125,,59.15384615384615,,,
openml:adult,server,1M,reference-exact-hamming,ann,ok,1,0.0,212.48556353678407,4.712820053100586,4.81104850769043,4.841089248657227,325.57421875,1600000.0,32.0,1.0,1.0,1.0,,,0.0,,0.0,,,
synthetic_binary256,desktop,1M,faiss-binary-flat,ann,ok,1,0.00010013580322265625,73.88598179408021,17.19498634338379,32.531023025512695,42.97494888305664,373.11328125,1600000.0,32.0,1.0,0.78125,1.0,,,0.0,,0.0,,,
synthetic_binary256,desktop,1M,hnswlib-l2-bits,ann,ok,1,2.192330837249756,11686.286252251566,0.0820159912109375,0.10895729064941406,0.11801719665527344,373.11328125,1600000.0,32.0,0.9421875,0.7015625,0.9421875,,,0.314453125,,0.23076923076923078,,,
synthetic_binary256,desktop,1M,nmslib-hnsw-l2-bits,ann,ok,1,5.976781129837036,18294.205850782888,0.04792213439941406,0.06794929504394531,0.07486343383789062,373.11328125,1600000.0,32.0,0.9,0.68125,0.9,,,0.275390625,,0.15384615384615385,,,
synthetic_binary256,desktop,1M,reference-exact-hamming,ann,ok,1,0.0,231.58526176936584,4.307985305786133,4.364967346191406,4.39000129699707,373.11328125,1600000.0,32.0,1.0,1.0,1.0,,,0.0,,0.0,,,
synthetic_binary256,edge,1M,faiss-binary-flat,ann,ok,1,9.703636169433594e-05,57.088038294123585,18.330812454223633,36.505937576293945,45.722007751464844,386.5625,1600000.0,32.0,1.0,0.78125,1.0,,,0.0,,0.0,,,
