track,dataset_id,tier,scale,algorithm,status,qps,lat_p95_ms,index_mb,rss_mb,bytes_per_insert,recall_at_k,error_bits_min_hamming,qps_per_index_mb,qps_per_rss_mb
core,core:replay,desktop,1M,core256/insert,ok,1217186.256093,0.000924,12.111684799194336,58.17578125,63.50011,,,100496.85706599355,20922.55969648882
core,core:replay,desktop,1M,core256/insert,ok,1216724.17554,0.000924,12.111684799194336,58.17578125,63.50011,,,100458.7054330324,20914.616862837574
core,core:replay,edge,1M,core256/match_batch,ok,106677761.153827,9.374e-06,12.111684799194336,58.17578125,63.50011,,,8807838.29190495,1833714.285595898
core,core:replay,edge,1M,core256/match_batch,ok,88470052.002697,1.1303e-05,12.111684799194336,58.17578125,63.50011,,,7304520.673175213,1520736.8100913472
core,core:replay,edge,1M,core256/match_batch,ok,87649985.559665,1.1409e-05,12.111684799194336,58.17578125,63.50011,,,7236811.972310858,1506640.4554672826
core,core:replay,edge,1M,core256/match_batch,ok,87083474.299707,1.1483e-05,12.111684799194336,58.17578125,63.50011,,,7190038.028854561,1496902.5327821788
core,core:replay,edge,1M,core256/match_batch,ok,87005585.32355,1.1494e-05,12.111684799194336,58.17578125,63.50011,,,7183607.133611797,1495563.6770851272
core,core:replay,edge,1M,core256/predict,ok,26437031.089684,3.4e-05,12.111684799194336,58.17578125,63.50011,,,2182770.7315701097,454433.62378023926
core,core:replay,edge,1M,core256/probe,ok,24492182.156686,3.8e-05,12.111684799194336,58.17578125,63.50011,,,2022194.481011858,421003.0639972884
core,core:replay,edge,1M,core256/predict,ok,24476601.531574,3.7e-05,12.111684799194336,58.17578125,63.50011,,,2020908.0683145067,420735.244214258
core,core:replay,edge,1M,core256/probe,ok,24307181.520319,3.7e-05,12.111684799194336,58.17578125,63.50011,,,2006919.922646592,417823.03560072946
core,core:replay,edge,1M,core256/predict,ok,24302996.146274,3.7e-05,12.111684799194336,58.17578125,63.50011,,,2006574.3576724045,417751.09201948193
core,core:replay,edge,1M,core256/predict,ok,24143491.530342,3.9e-05,12.111684799194336,58.17578125,63.50011,,,1993404.8755915458,415009.3219477306
core,core:replay,edge,1M,core256/probe,ok,24137570.635583,3.6e-05,12.111684799194336,58.17578125,63.50011,,,1992916.0175295034,414907.54600881273
